id_imagem,arquivo_imagem,doi_imagem,id_celula,classe_bethesda,nucleo_x,nucleo_y,class_id,class_name,caminho_imagem,width,height,particao,box_x1,box_y1,box_x2,box_y2,box_w,box_h,classe_detector,classe_id,arquivo_yolo
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,1,SCC,792,462,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,719.0,389.0,863.0,533.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,2,SCC,601,678,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,528.0,605.0,672.0,749.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,3,SCC,363,467,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,290.0,394.0,434.0,538.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,4,SCC,599,437,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,526.0,364.0,670.0,508.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,5,Negative for intraepithelial lesion,1186,450,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,1113.0,377.0,1257.0,521.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,6,Negative for intraepithelial lesion,408,599,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,335.0,526.0,479.0,670.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,7,LSIL,483,293,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,410.0,220.0,554.0,364.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,8,LSIL,814,121,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,741.0,48.0,885.0,192.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,9,HSIL,532,312,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,459.0,239.0,603.0,383.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,10,ASC-H,638,245,0,cell,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,1376,1020,train,565.0,172.0,709.0,316.0,144.0,144.0,cell,0,cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png
